vendor_id,calls,answered,avg_duration,answer_rate
VND0000001,6025,1169,449.1028021886918,19.402489626556015
VND0000002,5934,1170,443.4595185995624,19.716885743174924
VND0000003,5964,1188,454.25444183707674,19.919517102615693
VND0000004,5925,1157,450.6627318718381,19.52742616033755
VND0000005,6048,1181,453.06457473162675,19.527116402116402
VND0000006,5896,1230,450.8944604438421,20.86160108548168
VND0000007,6069,1179,446.6404346394468,19.426594167078594
VND0000008,5911,1168,448.908061517661,19.759769920487226
VND0000009,5972,1156,451.0594042838019,19.356999330207636
VND0000010,6163,1251,453.70796173179826,20.298555898101576
VND0000011,6072,1222,450.90342217834814,20.125164690382082
VND0000012,6010,1167,452.0995843724023,19.41763727121464
VND0000013,5904,1188,453.3003892367575,20.121951219512198
VND0000014,6041,1275,452.632484287132,21.105777189207085
VND0000015,6066,1195,454.6269148410476,19.699967029343885
