dataset,column,null_count,null_pct
borrowers,email,895,2.92
borrowers,phone,614,2.01
calls,agent_id,1827,2.0
call_attempts,vendor_id,2400,2.0
accounts,borrower_id,455,1.52
payments,payment_reference,382,1.5
field_visits,scheduled_at,250,1.0
account_status_history,borrower_id,0,0.0
account_status_history,account_id,0,0.0
accounts,account_id,0,0.0
accounts,loan_type,0,0.0
accounts,principal_amount,0,0.0
account_status_history,status,0,0.0
account_status_history,event_at,0,0.0
account_status_history,changed_by,0,0.0
account_status_history,source,0,0.0
account_status_history,recorded_at,0,0.0
account_status_history,history_id,0,0.0
accounts,timezone,0,0.0
accounts,opened_at,0,0.0
accounts,status,0,0.0
accounts,risk_segment,0,0.0
accounts,dpd,0,0.0
accounts,outstanding_amount,0,0.0
agent_sessions,channel,0,0.0
agent_sessions,session_id,0,0.0
agents,agent_id,0,0.0
agents,employee_code,0,0.0
agents,agent_name,0,0.0
agents,vendor_id,0,0.0
agents,team,0,0.0
agent_sessions,device_id,0,0.0
agent_sessions,agent_id,0,0.0
accounts,schema_version,0,0.0
agents,updated_at,0,0.0
agents,joined_at,0,0.0
agents,status,0,0.0
borrowers,name,0,0.0
borrowers,city,0,0.0
borrowers,created_at,0,0.0
borrowers,updated_at,0,0.0
borrowers,borrower_id,0,0.0
borrowers,state,0,0.0
call_attempts,attempt_id,0,0.0
call_attempts,borrower_id,0,0.0
call_attempts,account_id,0,0.0
call_attempts,event_at,0,0.0
call_attempts,call_id,0,0.0
agent_sessions,timezone,0,0.0
agent_sessions,login_at,0,0.0
call_attempts,attempt_no,0,0.0
call_attempts,attempt_status,0,0.0
call_dispositions,account_id,0,0.0
call_dispositions,disposition_id,0,0.0
call_dispositions,event_at,0,0.0
call_dispositions,call_id,0,0.0
call_dispositions,agent_id,0,0.0
call_dispositions,borrower_id,0,0.0
call_dispositions,disposition_code,0,0.0
call_dispositions,disposition_version,0,0.0
calls,account_id,0,0.0
calls,call_id,0,0.0
calls,borrower_id,0,0.0
calls,event_at,0,0.0
calls,campaign_id,0,0.0
calls,direction,0,0.0
calls,vendor_id,0,0.0
calls,call_status,0,0.0
calls,duration_sec,0,0.0
calls,timezone,0,0.0
campaigns,campaign_id,0,0.0
campaigns,campaign_name,0,0.0
campaigns,channel,0,0.0
campaigns,strategy_version,0,0.0
campaigns,start_at,0,0.0
campaigns,target_definition,0,0.0
campaigns,end_at,0,0.0
complaints,complaint_id,0,0.0
complaints,account_id,0,0.0
complaints,borrower_id,0,0.0
call_attempts,agent_id,0,0.0
agent_sessions,logout_at,0,0.0
complaints,complaint_type,0,0.0
complaints,event_at,0,0.0
complaints,severity,0,0.0
complaints,status,0,0.0
daily_targeting,target_id,0,0.0
daily_targeting,account_id,0,0.0
complaints,source,0,0.0
complaints,resolution_at,0,0.0
daily_targeting,priority,0,0.0
daily_targeting,recommended_channel,0,0.0
daily_targeting,status,0,0.0
data_dictionary,dataset,0,0.0
data_dictionary,column,0,0.0
data_dictionary,dtype,0,0.0
daily_targeting,campaign_id,0,0.0
daily_targeting,target_date,0,0.0
field_visits,account_id,0,0.0
field_visits,visit_id,0,0.0
field_visits,agent_id,0,0.0
field_visits,borrower_id,0,0.0
field_visits,visit_type,0,0.0
field_visits,outcome,0,0.0
field_visits,latitude,0,0.0
field_visits,event_at,0,0.0
field_visits,longitude,0,0.0
payments,payment_id,0,0.0
payments,borrower_id,0,0.0
payments,account_id,0,0.0
payments,event_at,0,0.0
payments,amount,0,0.0
payments,payment_status,0,0.0
payments,payment_method,0,0.0
payments,provider_id,0,0.0
promises_to_pay,ptp_id,0,0.0
promises_to_pay,account_id,0,0.0
promises_to_pay,borrower_id,0,0.0
promises_to_pay,event_at,0,0.0
promises_to_pay,agent_id,0,0.0
promises_to_pay,promised_amount,0,0.0
promises_to_pay,promised_date,0,0.0
promises_to_pay,status,0,0.0
promises_to_pay,source,0,0.0
sms_events,sms_event_id,0,0.0
sms_events,account_id,0,0.0
sms_events,borrower_id,0,0.0
sms_events,event_at,0,0.0
sms_events,message_id,0,0.0
sms_events,event_type,0,0.0
sms_events,template_code,0,0.0
sms_events,provider_id,0,0.0
vendor_telephony,vendor_id,0,0.0
vendor_telephony,vendor_name,0,0.0
vendor_telephony,vendor_account_id,0,0.0
vendor_telephony,timezone,0,0.0
vendor_telephony,status,0,0.0
vendor_telephony,schema_version,0,0.0
whatsapp_events,whatsapp_event_id,0,0.0
whatsapp_events,account_id,0,0.0
whatsapp_events,borrower_id,0,0.0
whatsapp_events,event_at,0,0.0
whatsapp_events,message_id,0,0.0
whatsapp_events,event_type,0,0.0
whatsapp_events,template_code,0,0.0
whatsapp_events,provider_id,0,0.0
